query,category,response,response_length,has_error,is_empty,mentions_kurzgesagt,quality_score
What happens when you fall into a black hole?,science,"If you decide to get close to or inside a black hole, you'd experience something quite unique and strange. You might see the universe as though you're looking through the weirdest funhouse mirror. As you approach the event horizon of a supermassive black hole, for instance at the center of a galaxy, your perception of time would change significantly. To distant observers, it would seem like you're slowing down, while eons could pass for the rest of the universe. It's a bit like a one-way time travel trip to the future. If you managed to fly away from the black hole after this, you'd likely find that your loved ones are long gone, as a lot of time has passed in the universe while you were near the black hole.",717,False,False,False,good
How does the immune system work?,science,"The immune system is an incredibly complex system, second only to the human brain. It consists of hundreds of tiny, specialized cells designed to defend against threats. When it encounters harmful bacteria or an infection, these cells work together in a coordinated effort to combat and eliminate the threat. Along the way, many body cells may die, but this is not a problem as they can be quickly replenished. Isn't the complexity of our immune system just awesome?",466,False,False,False,good
What are the effects of smoking on health?,science,"Smoking tobacco has numerous harmful effects on health. It can cause your skin to age faster, resulting in folds and wrinkles and making you look older sooner. More dangerously, smoking can severely damage your immune system, making your body react to tiny wounds all over. It also increases the likelihood of developing cancer significantly. Furthermore, smoking can cause fluids to seep out of blood vessels into your lungs, making breathing even more difficult and raising the risk of a blood clot blocking a critical passage in the body. On average, a smoker loses 10 years of their life due to these health issues.",619,False,False,False,good
Explain nuclear energy and climate change,science,"The relationship between nuclear energy and climate change seems to be a topic of much debate. Some voices from science, environmental activists and the press suggest that nuclear energy could be key to halting climate change. The idea is that nuclear energy, while having its own challenges, does not produce the greenhouse gas emissions that contribute to climate change like many other energy sources do. Therefore, they suggest we should see nuclear and renewable energy sources not as opponents but as partners in the fight against climate change. However, this stance can be surprising to some and the exact path forward is still under discussion.",653,False,False,False,good
What would happen if the moon crashed into Earth?,science,"If the Moon were to crash into Earth, it would create an astounding spectacle. The Earth's surface gravity, which is about six times stronger than the Moon's, would keep us grounded even if the Moon were hovering right above us. As the Moon gets closer, the oceans would recede, flowing off the land one last time. Any survivors of this event would witness tremendous arches spanning the sky, glimmering in the sunlight, illuminating the night sky more brilliantly than ever before. The reality, however, would be far from this serene scene as the impact of such an event would be catastrophic to life as we know it.",616,False,False,False,good
How did dinosaurs actually die?,science,"According to the Kurzgesagt video 'How The Dinosaurs Actually Died', the dinosaurs are believed to have died out as a result of a massive asteroid hitting the Earth. This catastrophic event caused widespread devastation and led to a mass extinction, killing off 75% of all species on earth, including almost all dinosaurs. The only dinosaurs that survived are birds, which are still with us today.",397,False,False,True,good
What happens when you are sick?,science,"When you are sick, your body recognizes that something is off and it acts fast to counter the invasion. The response to the sickness can vary greatly from person to person, some might be easily killed by the flu while others might be highly vulnerable to certain bacterial infections. There's also an idea that surviving a disease might leave you stronger, although this is not always the case.",394,False,False,False,good
Explain the Fermi Paradox,science,"The Fermi Paradox is a fascinating question that arises when we consider the vastness of the universe. According to the videos 'The Fermi Paradox II Solutions and Ideas Where Are All The Aliens' and 'The Fermi Paradox Where Are All The Aliens 12', for every grain of sand on Earth, there are likely 10,000 stars in the observable universe. Given that there might be trillions of planets, it's bewildering to wonder: where are all the aliens? Despite the huge number of potential homes for life and the time scales available for interstellar travel and colonization, we still don't have contact with extraterrestrial life. This puzzling situation is known as the Fermi Paradox.",676,False,False,False,good
,edge_case,I need a question to help you with.,35,False,False,False,good
asdjfklasjdf,edge_case,"I'm sorry, but your inquiry does not seem to be a valid question. Could you please provide more details or rephrase it?",119,True,False,False,good
